Food	Serving Size	Calories	Fat	Saturated Fat	Cholesterol	Sodium	Carbs	Dietery Fiber	Sugar	Protein	Labels	Ingredients
#31 Halal Chicken California Tomatoes (Giant)	Giant	17.35	0.2	0.05	0	4.8	3.75	1.15	2.55	0.85		
#6 Halal Roast Beef and Provolone Tomatoes (Giant)	Giant	17.35	0.2	0.05	0	4.8	3.75	1.15	2.55	0.85		
#7 Halal Turkey Breast and Provolone Tomatoes (Giant)	Giant	17.35	0.2	0.05	0	4.8	3.75	1.15	2.55	0.85		
#9 Halal Club Supreme Tomatoes (Giant)	Giant	17.35	0.2	0.05	0	4.8	3.75	1.15	2.55	0.85		
Halal Sliced Buffalo Chicken Sub Tomatoes (Giant)	Giant	17.35	0.2	0.05	0	4.8	3.75	1.15	2.55	0.85		
Mike's Hot Italian Hot Chopped Pepper Relish (Giant)	Giant	16.44	0.04	0	0	1415.72	3.4	1.2	2.12	0.56		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
Chicken Salad Sub Hot Chopped Pepper Relish (Giant)	Giant	12.33	0.03	0	0	1061.79	2.55	0.9	1.59	0.42		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#2 Jersey Shore's Favorite Hot Chopped Pepper Relish (Giant)	Giant	12.33	0.03	0	0	1061.79	2.55	0.9	1.59	0.42		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#3 Ham and Provolone Hot Chopped Pepper Relish (Giant)	Giant	12.33	0.03	0	0	1061.79	2.55	0.9	1.59	0.42		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
#14 The Veggie Hot Chopped Pepper Relish (Giant)	Giant	12.33	0.03	0	0	1061.79	2.55	0.9	1.59	0.42		(Red peppers, green peppers, white distilled vinegar, salt, contains less than 0.5% of: xanthan gum, sodium benzoate (preservative), sodium metabisulfite (preservative)) OR (Peppers, water, vinegar, salt, contains less than 2% of the following: xanthan gum, calcium chloride, sodium benzoate (preservative), and sodium metabisulfite (preservative))
